task_id,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type,inconsistency type
62ece4992e6aefcf4aabbd7e,{23},{13},,,,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},{3},{17},,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},{3},,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},{3},,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{11},{13},{4},{5},,,,
62ece4992e6aefcf4aabbd82,{10},{4},{3},{19},,,,
62ece4992e6aefcf4aabbd82,{13},{19},,,,,,
62ece4992e6aefcf4aabbd82,{13},{3},{19},,,,,
62ece4992e6aefcf4aabbd82,{13},{4},{3},{19},,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd88,{4},,,,,,,
62ece4992e6aefcf4aabbd88,{4},,,,,,,
62ece4992e6aefcf4aabbd88,{4},,,,,,,
62ece4992e6aefcf4aabbd88,{4},,,,,,,
62ece4992e6aefcf4aabbd88,{4},,,,,,,
62ece4992e6aefcf4aabbd88,{4},,,,,,,
62ece4992e6aefcf4aabbd89,{1},,,,,,,
62ece4992e6aefcf4aabbd89,{1},,,,,,,
62ece4992e6aefcf4aabbd8a,{12},{13},{5},{24},,,,
62ece4992e6aefcf4aabbd8b,{11},,,,,,,
62ece4992e6aefcf4aabbd8b,{11},{21},,,,,,
63ece4992e6aefcf4aabbd8b,{11},{21},,,,,,
62b8b4baeb7e40a82d2d1136,{5},{13},,,,,,
62b8b4c1eb7e40a82d2d1139,{13},,,,,,,
62b8b4c1eb7e40a82d2d1139,{13},,,,,,,
62b8d23e48ba5a41d1c3f49e,{24},{13},,,,,,
62b8a4a4755ee91dce50a3d3,{13},,,,,,,
62b8a4a4755ee91dce50a3d3,{5},{19},{13},,,,,
62b8a4a4755ee91dce50a3d3,{5},{13},,,,,,
62b8a4a4755ee91dce50a3d3,{5},{13},,,,,,
62b8a4a4755ee91dce50a3d3,{5},{3},{13},,,,,
62b8a4a4755ee91dce50a3d3,{5},{13},,,,,,
62b8a7b2755ee91dce50a4a7,{10},,,,,,,
62b8a7b2755ee91dce50a4a7,{4},{17},,,,,,
6306292252e177c0ba469f11,{4},,,,,,,
6306292252e177c0ba469f11,{4},,,,,,,
6306292252e177c0ba469f11,{13},,,,,,,
6306292252e177c0ba469f11,{4},,,,,,,
6306292652e177c0ba469f34,{1},{13},{24},,,,,
6306292652e177c0ba469f34,{21},,,,,,,
6306292652e177c0ba469f34,{13},{24},,,,,,
6306292a52e177c0ba469f41,{5},{3},{19},,,,,
6306298b52e177c0ba469fdc,{12},{13},,,,,,
6306298b52e177c0ba469fdc,{12},{13},,,,,,
6306298b52e177c0ba469fdc,{12},{13},,,,,,
6306298b52e177c0ba469fdc,{12},{13},{20},,,,,
6306298b52e177c0ba469fdc,{12},{13},,,,,,
6306299052e177c0ba469fe8,{17},{22},,,,,,
6306299052e177c0ba469fe8,{17},{20},{22},,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
630629e152e177c0ba46a0d1,{1},{13},,,,,,
6306091b73426c38ae68acd7,{20},,,,,,,
6306091b73426c38ae68acd7,{20},,,,,,,
6306091b73426c38ae68acd9,{4},,,,,,,
6306091b73426c38ae68acda,{20},,,,,,,
6306091b73426c38ae68acda,{21},,,,,,,
63060b1b73426c38ae68ad42,{11},{5},,,,,,
63060b1b73426c38ae68ad42,{13},{18},,,,,,
63060b1b73426c38ae68ad42,{11},{4},,,,,,
62e60ed4d76274f8a4026da0,{12},{13},,,,,,
62e60ed4d76274f8a4026da0,{21},,,,,,,
62e60ed4d76274f8a4026da0,{1},{12},{13},,,,,
62e60ed4d76274f8a4026da0,{12},{13},,,,,,
62e60ed4d76274f8a4026da0,{12},{13},{21},,,,,
62e60ed4d76274f8a4026da0,{21},,,,,,,
62e60ed4d76274f8a4026da0,{12},{13},,,,,,
62e60e49d76274f8a4026d25,{3},,,,,,,
62e60e49d76274f8a4026d25,{3},,,,,,,
62e60e49d76274f8a4026d25,{3},{7},,,,,,
62e60e49d76274f8a4026d25,{3},{1},,,,,,
62e60e49d76274f8a4026d25,{3},,,,,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},,,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{7},{14},,,,
62e5dc9ed76274f8a4026b5b,{13},{3},{1},{7},{14},,,
62e5dc9ed76274f8a4026b5b,{13},{5},{3},{7},{14},,,
62e4fbda85ea986430890403,{1},{13},{3},,,,,
62e4fb6585ea98643089032b,{21},,,,,,,
62e4fb6585ea98643089032b,{4},{21},,,,,,
62e4fb6585ea98643089032b,{12},,,,,,,
62e4fb6585ea98643089032b,{12},,,,,,,
62e4fb6585ea98643089032b,{12},,,,,,,
62e4fb6585ea98643089032b,{21},,,,,,,
62e4fb6585ea98643089032b,{12},{21},,,,,,
62e4fb6585ea98643089032b,{12},{21},,,,,,
62b8d22f48ba5a41d1c3f488,{21},{13},,,,,,
62b8d22a48ba5a41d1c3f47e,{9},{18},,,,,,
62b8d22a48ba5a41d1c3f47e,{4},{18},,,,,,
62b8d22a48ba5a41d1c3f47e,{4},{18},,,,,,
62b8d22a48ba5a41d1c3f47e,{9},{18},,,,,,
62b8d22948ba5a41d1c3f47c,{18},,,,,,,
62b8d22948ba5a41d1c3f47c,{13},,,,,,,
62b8bbbfe0d34b282c181210,{1},{5},{3},{24},{13},{14},,
62b8bbbfe0d34b282c181210,{1},{5},{21},{13},{14},,,
62b8bbbfe0d34b282c181210,{1},{5},{3},{21},{13},{14},,
62b8bbbfe0d34b282c181210,{5},{21},{13},{14},,,,
62b8bbbfe0d34b282c181210,{5},{3},{21},{13},{14},,,
62b8bbbfe0d34b282c181210,{1},{5},{3},{21},{13},{14},,
62b8bbbfe0d34b282c181210,{1},{5},{3},{21},{13},{14},,
62b8bbbfe0d34b282c181210,{1},{21},{13},{14},,,,
62b8bbbfe0d34b282c18120f,{5},{3},{19},{21},{13},{14},,
62b8bbbfe0d34b282c18120f,{4},{5},{3},{19},{21},{13},{14},
62b8bbbfe0d34b282c18120f,{1},{4},{5},{3},{19},{21},{13},{14}
62b8bbbfe0d34b282c18120f,{4},{5},{19},{21},{13},{14},,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},{18},,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},,,,
62b8bbbce0d34b282c18120d,{5},{3},{19},{13},,,,
62b8b3d5eb7e40a82d2d1110,{5},{13},,,,,,
62b8b3d4eb7e40a82d2d110f,{13},,,,,,,
62b8b3d4eb7e40a82d2d110f,{13},,,,,,,
62b8b3d4eb7e40a82d2d110f,{13},,,,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},,,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},{21},,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},,,,,,
62b8b3d4eb7e40a82d2d110e,{11},{13},,,,,,
62b8b3d4eb7e40a82d2d110e,{11},,,,,,,
62b8b3d4eb7e40a82d2d110d,{13},,,,,,,
62b8b3d4eb7e40a82d2d110d,{13},,,,,,,
62b8b3d4eb7e40a82d2d110d,{13},,,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87b099a0c4fa8b80b3538,{13},,,,,,,
62b87af99a0c4fa8b80b3524,{13},{4},,,,,,
62b87af99a0c4fa8b80b3524,{13},,,,,,,
62b87af99a0c4fa8b80b3524,{4},,,,,,,
62b87af99a0c4fa8b80b3524,{13},,,,,,,
62b87af99a0c4fa8b80b3524,{13},,,,,,,
62b87af99a0c4fa8b80b3524,{13},{4},,,,,,
62b87af99a0c4fa8b80b3524,{13},,,,,,,
62b87af69a0c4fa8b80b351a,{10},{13},,,,,,
62b87af69a0c4fa8b80b351a,{13},,,,,,,
62b87af69a0c4fa8b80b351a,{13},,,,,,,
62b87af69a0c4fa8b80b351a,{4},,,,,,,
62b45df15108cfac7f2109dc,{1},,,,,,,
62b45df15108cfac7f2109dc,,,,,,,,
62b45df15108cfac7f2109dc,{1},{13},,,,,,
62b463153879012d19481498,{12},{13},,,,,,
62b463153879012d19481498,{4},,,,,,,
62b463153879012d19481498,{21},,,,,,,
62b463153879012d1948149b,{1},{10},,,,,,
62b463153879012d1948149b,{1},{10},{2},,,,,
62b463153879012d1948149b,{1},{17},,,,,,
62b463153879012d1948149b,{10},{4},,,,,,
62b463153879012d1948149b,{10},,,,,,,
62b463153879012d1948149b,{3},{17},,,,,,
62b463153879012d1948149b,{3},,,,,,,
62b463153879012d1948149b,{10},{4},,,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{13},,,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d1948149c,{12},{11},{13},,,,,
62b463153879012d194814a1,{13},,,,,,,
62b463163879012d194814a6,{1},,,,,,,
62b463163879012d194814a6,{12},{14},,,,,,
62b463163879012d194814a6,{1},{4},,,,,,
62b463163879012d194814a6,{14},,,,,,,
62b463163879012d194814a6,{1},{14},,,,,,
62b463163879012d194814a6,{1},{4},,,,,,
62b463163879012d194814a6,{4},{14},,,,,,
62b463283879012d1948153d,{3},{13},,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{3},{13},,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{13},,,,,,,
62b463283879012d1948153d,{3},{13},,,,,,
62b46740d2f69a53b466171a,{10},{3},{15},,,,,
62b46740d2f69a53b466171a,{10},{3},{15},,,,,
62b46740d2f69a53b466171a,{10},{3},{15},,,,,
62b46740d2f69a53b466171a,{3},{15},,,,,,
62b46740d2f69a53b466171a,{10},{3},{15},,,,,
62b46740d2f69a53b466171a,{10},{3},{15},,,,,
62b86707b4d922cb0e688c2a,{3},,,,,,,
62b86707b4d922cb0e688c2a,{3},,,,,,,
62b89640755ee91dce50a114,{3},{14},,,,,,
62b89640755ee91dce50a114,{3},{20},{14},,,,,
62b89640755ee91dce50a114,{3},{14},,,,,,
62b89640755ee91dce50a114,{3},{1},{14},,,,,
62b45679d7d32e5b55cc83a9,{12},,,,,,,
62b438b666fea644fe22cc72,{12},{13},,,,,,
62b438a266fea644fe22cc2c,{13},,,,,,,
62b438a266fea644fe22cc2c,{13},,,,,,,
62ece4982e6aefcf4aabbd5f,{1},,,,,,,
62ece4982e6aefcf4aabbd5f,{1},{4},{16},{14},,,,
62ece4982e6aefcf4aabbd5f,{1},{9},{4},,,,,
62ece4982e6aefcf4aabbd5f,{9},{2},,,,,,
62ece4982e6aefcf4aabbd5f,{1},{9},{2},,,,,
62ece4982e6aefcf4aabbd5f,{1},{4},{16},,,,,
62ece4982e6aefcf4aabbd5f,{16},{2},,,,,,
62ece4982e6aefcf4aabbd5f,{1},{9},,,,,,
62ece4982e6aefcf4aabbd5f,{1},{2},,,,,,
62ece4982e6aefcf4aabbd5f,{1},{9},{2},,,,,
62ece4982e6aefcf4aabbd61,{13},{12},,,,,,
62ece4982e6aefcf4aabbd61,{13},{12},,,,,,
62ece4982e6aefcf4aabbd61,{13},{12},,,,,,
62ece4982e6aefcf4aabbd61,{1},{7},{13},{12},,,,
62ece4982e6aefcf4aabbd61,{7},{13},{12},,,,,
62ece4982e6aefcf4aabbd61,{1},{7},{13},{12},,,,
62ece4982e6aefcf4aabbd61,{7},{13},{12},,,,,
62ece4982e6aefcf4aabbd61,{7},{13},{12},,,,,
62ece4982e6aefcf4aabbd61,{7},{9},{13},{12},,,,
62ece4982e6aefcf4aabbd62,{19},{13},,,,,,
62ece4982e6aefcf4aabbd62,{12},{3},{19},{13},,,,
62ece4982e6aefcf4aabbd63,{13},{3},{17},,,,,
62ece4982e6aefcf4aabbd63,{13},{18},,,,,,
62ece4982e6aefcf4aabbd63,{11},{13},,,,,,
62ece4982e6aefcf4aabbd63,{13},{18},,,,,,
62ece4982e6aefcf4aabbd65,{12},{13},,,,,,
62ece4982e6aefcf4aabbd65,{12},{13},,,,,,
62ece4982e6aefcf4aabbd65,{12},{13},,,,,,
62ece4982e6aefcf4aabbd65,{12},{13},,,,,,
62ece4982e6aefcf4aabbd67,{1},{13},,,,,,
62ece4982e6aefcf4aabbd67,{13},,,,,,,
62ece4982e6aefcf4aabbd67,{1},{13},,,,,,
62ece4982e6aefcf4aabbd67,{1},{13},,,,,,
62ece4982e6aefcf4aabbd6a,{19},,,,,,,
62ece4982e6aefcf4aabbd6a,{4},,,,,,,
62ece4982e6aefcf4aabbd6a,{4},,,,,,,
62ece4982e6aefcf4aabbd6a,{4},,,,,,,
62ece4982e6aefcf4aabbd6a,{4},,,,,,,
62ece4982e6aefcf4aabbd6a,{4},,,,,,,
62ece4982e6aefcf4aabbd6a,{13},,,,,,,
62ece4982e6aefcf4aabbd6a,{13},{4},,,,,,
62ece4982e6aefcf4aabbd6a,{21},,,,,,,
62ece4982e6aefcf4aabbd6b,{13},,,,,,,
62ece4982e6aefcf4aabbd6b,{13},,,,,,,
62ece4982e6aefcf4aabbd70,{10},,,,,,,
62ece4982e6aefcf4aabbd70,{13},,,,,,,
62ece4982e6aefcf4aabbd70,{10},{13},,,,,,
62ece4982e6aefcf4aabbd70,{10},,,,,,,
62ece4982e6aefcf4aabbd76,{7},{4},,,,,,
62ece4982e6aefcf4aabbd76,{1},{7},{10},{4},,,,
62ece4982e6aefcf4aabbd76,{1},{7},{10},{4},{3},,,
62ece4992e6aefcf4aabbd78,{11},{5},,,,,,
62ece4992e6aefcf4aabbd78,{10},{4},,,,,,
62ece4992e6aefcf4aabbd78,{11},{10},{13},,,,,
62ece4992e6aefcf4aabbd78,{11},{10},,,,,,
62ece4992e6aefcf4aabbd78,{11},,,,,,,
62ece4992e6aefcf4aabbd78,{4},,,,,,,
62ece4992e6aefcf4aabbd7a,{13},,,,,,,
62ece4992e6aefcf4aabbd7a,{13},,,,,,,
62ece4992e6aefcf4aabbd7c,{4},{5},{15},,,,,
62ece4992e6aefcf4aabbd7c,{13},{4},{15},,,,,
62ece4992e6aefcf4aabbd7c,{12},{13},,,,,,
62ece4992e6aefcf4aabbd7c,{13},{15},,,,,,
62ece4992e6aefcf4aabbd7d,{12},{13},{4},{5},{3},{15},{21},
62ece4992e6aefcf4aabbd7d,{12},{13},{3},{15},,,,
62ece4992e6aefcf4aabbd7d,{12},{13},{4},{3},{15},,,
62ece4992e6aefcf4aabbd7d,{12},{13},{4},{3},{15},,,
62ece4992e6aefcf4aabbd7d,{12},{13},{3},{15},{20},,,
62ece4992e6aefcf4aabbd7d,{3},{13},,,,,,
62ece4992e6aefcf4aabbd7e,{12},{13},,,,,,
62ece4992e6aefcf4aabbd7e,{12},{13},{9},{3},{23},,,
62ece4992e6aefcf4aabbd7e,{13},{20},,,,,,
62ece4992e6aefcf4aabbd7e,{9},{23},,,,,,
62ece4992e6aefcf4aabbd7e,{12},{13},,,,,,
62ece4992e6aefcf4aabbd7e,{9},{3},{20},{13},,,,
62ece4992e6aefcf4aabbd7f,,,,,,,,
62ece4992e6aefcf4aabbd7f,{4},{3},{20},,,,,
62ece4992e6aefcf4aabbd7f,{3},{20},,,,,,
62ece4992e6aefcf4aabbd7f,{13},{3},{15},{20},,,,
62ece4992e6aefcf4aabbd7f,{3},{15},{20},,,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd80,{12},{11},{13},{5},,,,
62ece4992e6aefcf4aabbd82,{13},,,,,,,
62ece4992e6aefcf4aabbd82,{13},{3},{17},,,,,
62ece4992e6aefcf4aabbd82,{3},{17},,,,,,
62ece4992e6aefcf4aabbd82,{13},{3},{17},,,,,
62ece4992e6aefcf4aabbd82,{13},{3},{17},,,,,
62ece4992e6aefcf4aabbd82,{13},{3},,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd84,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{5},{13},,,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{10},{3},{13},,,,,
62ece4992e6aefcf4aabbd85,{13},,,,,,,
62ece4992e6aefcf4aabbd85,{19},{13},,,,,,
62ece4992e6aefcf4aabbd88,{4},,,,,,,
62ece4992e6aefcf4aabbd89,{1},{4},{2},,,,,
62ece4992e6aefcf4aabbd8a,{1},{7},{12},{13},{5},{3},{24},
62ece4992e6aefcf4aabbd8b,{11},{17},,,,,,
62ece4992e6aefcf4aabbd8b,{13},{17},,,,,,
62ece4992e6aefcf4aabbd8b,{11},,,,,,,
62ece4992e6aefcf4aabbd8b,{18},,,,,,,
62ece4992e6aefcf4aabbd8b,{18},,,,,,,
62b8b559eb7e40a82d2d11f6,{3},{13},,,,,,
62b8a4a4755ee91dce50a3d3,{5},{13},,,,,,
62b8a4a4755ee91dce50a3d3,{13},,,,,,,
62b8a4a4755ee91dce50a3d3,{5},{3},{13},,,,,
62b8a4a4755ee91dce50a3d3,{13},,,,,,,
62b8a4a4755ee91dce50a3d3,{13},,,,,,,
62b8a4a4755ee91dce50a3d3,{5},{3},{13},,,,,
62b8a4a4755ee91dce50a3d3,{5},{3},{13},,,,,
62b8a4a4755ee91dce50a3d3,{13},,,,,,,
62b8a7b2755ee91dce50a4a7,{3},{17},,,,,,
62b8a7b2755ee91dce50a4a7,{10},,,,,,,
6306292152e177c0ba469f0d,{1},{5},{3},,,,,
6306292152e177c0ba469f0d,{1},{5},,,,,,
6306292252e177c0ba469f11,{4},,,,,,,
6306292252e177c0ba469f11,{4},,,,,,,
6306292252e177c0ba469f11,{4},,,,,,,
6306292252e177c0ba469f11,{4},,,,,,,
6306292652e177c0ba469f34,{13},{4},{21},,,,,
6306292652e177c0ba469f34,{4},{21},,,,,,
6306292652e177c0ba469f34,{1},{13},{4},{24},,,,
6306292652e177c0ba469f34,{1},{13},{24},,,,,
6306292652e177c0ba469f34,{4},{24},,,,,,
6306292a52e177c0ba469f41,{19},,,,,,,
6306292a52e177c0ba469f41,{11},,,,,,,
6306299052e177c0ba469fe8,{10},{19},,,,,,
6306299052e177c0ba469fe8,{3},{22},,,,,,
6306299052e177c0ba469fe8,{17},{22},,,,,,
6306299052e177c0ba469fe8,{4},{3},,,,,,
6306299052e177c0ba469fe8,{17},{22},,,,,,
6306299052e177c0ba469fe8,{17},{3},{22},,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
630629e152e177c0ba46a0d1,{3},{13},,,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
630629e152e177c0ba46a0d1,{13},,,,,,,
6306091b73426c38ae68acd7,{20},,,,,,,
6306091b73426c38ae68acd7,{21},,,,,,,
6306092e73426c38ae68ad0d,{6},{21},,,,,,
6306092e73426c38ae68ad0d,{12},{11},{6},,,,,
63060b1b73426c38ae68ad42,{11},{13},,,,,,
63060b1b73426c38ae68ad42,{11},,,,,,,
63060b1b73426c38ae68ad42,{18},,,,,,,
63060b1b73426c38ae68ad42,{11},{13},{4},,,,,
63060b1b73426c38ae68ad42,{13},,,,,,,
